MINISTÉRIO DA FAZENDA - MF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SECRETARIA DO TESOURO NACIONAL - STN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO-GERAL DE ANÁLISE E INFORMAÇÕES DAS TRANSFERÊNCIAS FINANCEIRAS INTERGOVERNAMENTAIS - COINT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTADOS;UF;janeiro/20;fevereiro/20;março/20;abril/20;maio/20;junho/20;julho/20;agosto/20;setembro/20;outubro/20;novembro/20;dezembro/20;janeiro/21;fevereiro/21;março/21;abril/21;maio/21;junho/21;julho/21;agosto/21;setembro/21;outubro/21;novembro/21;dezembro/21;janeiro/22;fevereiro/22;março/22;abril/22;maio/22;junho/22;julho/22;agosto/22;setembro/22;outubro/22;novembro/22;dezembro/22;janeiro/23;fevereiro/23;março/23;abril/23;maio/23;junho/23;julho/23;agosto/23;setembro/23;outubro/23;novembro/23;dezembro/23
Rio Grande do Norte;RN; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3.027.252,85 ; 379.796,88 ; 555.478,96 ; 277.739,48 ; 277.739,48 ; 277.739,48 ; 277.739,48 ; 277.739,48 ; 277.739,48 ; 277.739,48 ; 277.739,48 ; 277.739,48 ; 277.739,48 ; 233.419,88 ; 233.419,88 ; 233.419,88 ; 233.419,88 ; 233.419,88 ; 233.419,88 ; 233.419,88 ; 233.419,88 ; 233.419,88 ; 233.419,88 ; 233.419,88 ; 233.419,88 ; 239.288,95 ; 239.288,95 ; 239.288,95 ; 239.288,95 ; 239.288,95 ; 239.288,95 ; 239.288,95 ; 239.288,95 ; 239.288,95 ; -   ; -   ; -   
Rondônia;RO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3.626.858,79 ; 5.359.991,21 ; 1.457.275,28 ; 728.637,64 ; 728.637,64 ; 728.637,64 ; 728.637,64 ; 728.637,64 ; 728.637,64 ; 728.637,64 ; 728.637,64 ; 728.637,64 ; 728.637,64 ; 766.962,54 ; 766.962,54 ; 766.962,54 ; 766.962,54 ; 766.962,54 ; 766.962,54 ; 766.962,54 ; 766.962,54 ; 766.962,54 ; 766.962,54 ; 766.962,54 ; 766.962,54 ; 881.683,56 ; 881.683,56 ; 881.683,56 ; 881.683,56 ; 881.683,56 ; 881.683,56 ; 881.683,56 ; 881.683,56 ; 881.683,56 ; -   ; -   ; -   
Roraima;RR; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 341.316,48 ; 47.483,53 ; 163.116,68 ; 81.558,34 ; 81.558,34 ; 81.558,34 ; 81.558,34 ; 81.558,34 ; 81.558,34 ; 81.558,34 ; 81.558,34 ; 81.558,34 ; 81.558,34 ; 80.708,33 ; 80.708,33 ; 80.708,33 ; 80.708,35 ; 80.708,35 ; 80.708,35 ; 80.708,35 ; 80.708,35 ; 80.708,35 ; 80.708,35 ; 80.708,35 ; 80.708,35 ; 99.358,36 ; 99.358,36 ; 99.358,36 ; 99.358,36 ; 99.358,36 ; 99.358,36 ; 99.358,36 ; 99.358,36 ; 99.358,36 ; -   ; -   ; -   
Rio Grande do Sul;RS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 57.378.144,14 ; 34.634.655,76 ; 14.789.551,28 ; 7.394.775,64 ; 7.394.775,64 ; 7.394.775,65 ; 7.394.775,65 ; 7.394.775,65 ; 7.394.775,65 ; 7.394.775,65 ; 7.394.775,65 ; 7.394.775,66 ; 7.394.775,66 ; 6.045.558,46 ; 6.045.558,46 ; 6.045.558,46 ; 6.045.558,46 ; 6.045.558,46 ; 6.045.558,45 ; 6.045.558,46 ; 6.045.558,46 ; 6.045.558,46 ; 6.045.558,46 ; 6.045.558,46 ; 6.045.558,46 ; 6.437.879,78 ; 6.437.879,78 ; 6.437.879,78 ; 6.437.879,78 ; 6.437.879,78 ; 6.437.879,78 ; 6.437.879,78 ; 6.437.879,78 ; 6.437.879,78 ; -   ; -   ; -   
Santa Catarina;SC; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 15.838.319,80 ; 15.324.198,29 ; 4.572.458,18 ; 2.286.229,09 ; 2.286.229,09 ; 2.286.229,09 ; 2.286.229,09 ; 2.286.229,09 ; 2.286.229,09 ; 2.286.229,09 ; 2.286.229,09 ; 2.286.229,10 ; 2.286.229,10 ; 1.782.654,24 ; 1.782.654,24 ; 1.782.654,24 ; 1.782.654,24 ; 1.782.654,24 ; 1.782.654,22 ; 1.782.654,24 ; 1.782.654,24 ; 1.782.654,24 ; 1.782.654,24 ; 1.782.654,24 ; 1.782.654,24 ; 1.814.630,03 ; 1.814.630,03 ; 1.814.630,03 ; 1.814.630,03 ; 1.814.630,03 ; 1.814.630,03 ; 1.814.630,03 ; 1.814.630,03 ; 1.814.630,03 ; -   ; -   ; -   
Sergipe;SE; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 509.846,64 ; 756.028,00 ; 204.367,68 ; 102.183,84 ; 102.183,84 ; 102.183,84 ; 102.183,84 ; 102.183,84 ; 102.183,84 ; 102.183,84 ; 102.183,84 ; 102.183,84 ; 102.183,84 ; 101.909,78 ; 101.909,78 ; 101.909,78 ; 101.909,78 ; 101.909,78 ; 102.233,45 ; 102.233,45 ; 102.233,45 ; 102.233,45 ; 102.233,45 ; 102.233,45 ; 102.233,45 ; 102.077,37 ; 102.077,37 ; 102.077,37 ; 102.077,37 ; 102.077,37 ; 102.077,37 ; 102.077,37 ; 102.077,37 ; 102.077,37 ; -   ; -   ; -   
São Paulo;SP; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 54.509.842,29 ; 97.176.866,47 ; 25.305.146,16 ; 12.652.573,08 ; 12.652.573,08 ; 12.652.573,09 ; 12.652.573,09 ; 12.652.573,09 ; 12.652.573,09 ; 12.652.573,09 ; 12.652.573,09 ; 12.652.573,13 ; 12.652.573,13 ; 12.646.199,33 ; 12.646.199,33 ; 12.646.199,31 ; 12.646.199,31 ; 12.646.199,31 ; 12.646.199,29 ; 12.646.199,31 ; 12.646.199,31 ; 12.646.199,31 ; 12.646.199,31 ; 12.646.199,31 ; 12.646.199,31 ; 12.644.336,91 ; 12.644.336,91 ; 12.644.336,91 ; 12.644.336,91 ; 12.644.336,91 ; 12.644.336,91 ; 12.644.336,90 ; 12.644.336,90 ; 12.644.336,90 ; -   ; -   ; -   
Tocantins;TO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 8.017.493,43 ; 1.659.684,33 ; 1.878.710,54 ; 939.355,27 ; 939.355,27 ; 939.355,27 ; 939.355,27 ; 939.355,27 ; 939.355,28 ; 939.355,28 ; 939.355,28 ; 939.355,28 ; 939.355,28 ; 922.891,81 ; 922.891,81 ; 922.891,81 ; 922.891,81 ; 922.891,81 ; 922.891,81 ; 922.891,81 ; 922.891,81 ; 922.891,81 ; 922.891,81 ; 922.891,81 ; 922.891,81 ; 1.141.722,38 ; 1.141.722,38 ; 1.141.722,38 ; 1.141.722,38 ; 1.141.722,38 ; 1.141.722,38 ; 1.141.722,37 ; 1.141.722,37 ; 1.141.722,38 ; -   ; -   ; -   
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 630.379.190,20 ; 357.279.414,34 ; 164.628.647,96 ; 82.314.323,98 ; 82.314.323,98 ; 82.317.403,12 ; 82.317.403,12 ; 82.317.403,12 ; 82.338.077,34 ; 82.338.077,34 ; 82.363.418,64 ; 82.375.003,47 ; 82.340.619,86 ; 82.322.743,07 ; 82.322.743,07 ; 82.322.732,34 ; 82.322.732,34 ; 82.322.732,34 ; 82.322.366,89 ; 82.322.406,23 ; 82.322.406,23 ; 82.337.974,78 ; 82.337.974,78 ; 82.337.974,78 ; 82.338.070,19 ; 82.230.811,09 ; 82.230.841,33 ; 82.230.841,33 ; 82.230.841,33 ; 82.230.841,33 ; 82.230.841,33 ; 82.255.597,32 ; 82.255.597,32 ; 82.255.067,14 ; -   ; -   ; -   
